,Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
60,Swing Keel,Masthead Sloop,8.27 m,7.62 m,2.44 m,31.22 m<sup>2</sup>,1.22 m,"1,950 kg",726 kg,20.39,37.21,122.86,FG,,1968,,Richard Carlson,16.24,1.97,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/admiral-27/pdf"">PDF</a>",ADMIRAL 27,0.59 m,,,,,,,,,,,,,,,,
61,Catamaran Twin Keel,Fractional  Sloop,11.60 m,10.40 m,7.00 m,92.00 m<sup>2</sup>,0.80 m,"7,000 kg",,25.66,,173.44,FG,,1998,,Angelo Lavranos,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/admiral-38-lavranos/pdf"">PDF</a>",ADMIRAL 38 (LAVRANOS),,Admiral Yachts,,,Yanmar,Diesel; Saildrive,2x 27,520 L,,520 L,,0.74,,,0.65 m,17.60 m,
62,Catamaran Twin Keel,Fractional  Sloop,12.19 m,11.79 m,7.32 m,107.49 m<sup>2</sup>,0.91 m,"8,200 kg",,26.98,,139.57,FG,,2007,,Angelo Lavranos,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/admiral-40-lavranos/pdf"">PDF</a>",ADMIRAL 40 (LAVRANOS),,Admiral Yachts/Celtic Yachts (ZAF),,,,Diesel,2x 30,379 L,,379 L,,0.79,,,,18.49 m,
63,Catamaran Twin Keel,Fractional  Sloop,15.00 m,13.80 m,8.50 m,125.00 m<sup>2</sup>,1.30 m,"10,500 kg",,26.61,,111.32,FG,,2000,,Angelo Lavranos,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/admiral-50-lavranos/pdf"">PDF</a>",ADMIRAL 50 (LAVRANOS),,Admiral Yachts (ZAF),,2007,Yanmar,Diesel; Saildrive,2x 49,800 L,,800 L,,0.81,,,0.80 m,20.85 m,
64,Lifting Keel,Fractional  Sloop,9.00 m,8.51 m,1.73 m,39.95 m<sup>2</sup>,2.20 m,"1,100 kg",700 kg,38.21,63.63,49.74,FG,,2006,,John Swarbrick,13.04,1.69,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/admiralty-30/pdf"">PDF</a>",ADMIRALTY 30,0.71 m,Admiralty Yachts (SINGAPORE),,,,,,,,,,,,,,,
65,Fin w/bulb & dual rudders,Fractional  Sloop,13.46 m,12.70 m,4.25 m,101.64 m<sup>2</sup>,3.00 m,"7,100 kg","2,700 kg",28.08,38.02,96.58,Carbon-epoxy sandwich,,2014,,Biscontini Yacht Design/Nauta Yachts,17.07,2.23,6.02,18.00 m,5.30 m,18.00 m,6.00 m,,,47.70 m<sup>2</sup>,53.98 m<sup>2</sup>,28.09,18.76 m,"<a class="""" href=""https://sailboatdata.com/sailboat/advanced-44/pdf"">PDF</a>",ADVANCED 44,,Advanced Yachts (ITA),,,,Diesel,40,201 L,,,,,,,,,
66,Fin w/bulb & spade rudder,Fractional  Sloop,20.46 m,18.18 m,5.40 m,224.92 m<sup>2</sup>,3.20 m,"24,000 kg","8,600 kg",27.61,35.83,111.35,Carbon/Composite,,2011,,Reichel/Pugh,28.75,1.89,5.30,26.00 m,7.40 m,25.50 m,8.80 m,,,96.20 m<sup>2</sup>,112.19 m<sup>2</sup>,25.58,27.03 m,"<a class="""" href=""https://sailboatdata.com/sailboat/advanced-66/pdf"">PDF</a>",ADVANCED 66,,Advanced Yachts (ITA),4LHA ,,Yanmar,Diesel,100,901 L,,"1,560 L",,,,,,,
67,Fin (shoal draft),Fractional  Sloop,5.18 m,4.42 m,2.13 m,12.82 m<sup>2</sup>,0.56 m,612 kg,283 kg,18.11,46.30,197.69,FG,,1980,,Sovereign Design Group ,10.24,2.54,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/adventurer-17/pdf"">PDF</a>",ADVENTURER 17,,Custom Fiberglass Products  (USA) ,,,,,,,,,,,,,,,
68,Fin w/spade rudder,Fractional  Sloop,6.61 m,5.85 m,2.50 m,22.48 m<sup>2</sup>,1.41 m,"1,218 kg",406 kg,20.09,33.37,169.35,FG,,1980,,Ed Dubois,12.61,2.36,3.49,7.68 m,2.41 m,8.84 m,2.99 m,,,9.25 m<sup>2</sup>,13.20 m<sup>2</sup>,20.06,8.05 m,"<a class="""" href=""https://sailboatdata.com/sailboat/aegean-234/pdf"">PDF</a>",AEGEAN 234,,Aegean Marine,,,,,,,,,,,,,,,
69,Keel/Cbrd.,Staysail Ketch,15.52 m,13.03 m,4.34 m,113.99 m<sup>2</sup>,2.97 m,"17,917 kg","7,031 kg",17.00,39.24,225.70,FG,,1982,9,Walter Schutz,39.26,1.68,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/aegean-51/pdf"">PDF</a>",AEGEAN 51,1.73 m,Shannon Yachts (USA),4-236,,Perkins,Diesel,,568 L,,946 L,,,,,,,
70,Fin w/transom hung rudder,,6.25 m,5.41 m,2.44 m,23.23 m<sup>2</sup>,1.22 m,"1,021 kg",318 kg,23.35,31.11,179.61,FG,,1999,,Gary Mull,11.73,2.44,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/aero-20-catalina/pdf"">PDF</a>",AERO 20 (CATALINA),,Catalina Yachts (USA),,,,,,,,,,,,,,,
71,Fin w/bulb & dual rudders,Frac. Sloop (Rotating Spar),10.82 m,10.52 m,3.52 m,70.05 m<sup>2</sup>,2.50 m,"3,200 kg","1,000 kg",32.90,31.25,76.70,Composite,Lead/Water,2000,,Groupe Finot,12.04,2.41,6.78,12.41 m,3.90 m,15.40 m,5.03 m,5.55 m,17.45 m,24.20 m<sup>2</sup>,38.72 m<sup>2</sup>,29.55,13.00 m,"<a class="""" href=""https://sailboatdata.com/sailboat/aerodyne-35/pdf"">PDF</a>",AERODYNE 35,,Bellamer (FIN),2GM20,,Yanmar,Diesel,18,79 L,,148 L,,,,,,,
72,Fin w/bulb & spade rudder,Fractional  Sloop,11.48 m,10.43 m,3.96 m,73.86 m<sup>2</sup>,2.36 m,"5,103 kg","1,882 kg",25.42,36.89,125.44,Composite,Lead,2000,18,Rodger Martin and Steve Koopman,16.20,2.32,4.97,15.49 m,4.42 m,15.77 m,5.03 m,6.35 m,17.45 m,34.23 m<sup>2</sup>,39.66 m<sup>2</sup>,25.43,16.11 m,"<a class="""" href=""https://sailboatdata.com/sailboat/aerodyne-38/pdf"">PDF</a>",AERODYNE 38,,Aerodyne Marine (ZAF),3GM30F,,Yanmar,Diesel,27,95 L,,265 L,,,,,,,
73,Fin w/bulb & spade rudder,Fractional  Sloop,12.95 m,11.83 m,4.27 m,104.61 m<sup>2</sup>,2.44 m,"7,371 kg","2,722 kg",28.19,36.92,124.20,Composite,Lead,2001,,Rodger Martin,18.73,2.21,4.92,17.68 m,4.92 m,17.27 m,5.64 m,6.67 m,19.13 m,43.46 m<sup>2</sup>,48.69 m<sup>2</sup>,24.83,18.35 m,"<a class="""" href=""https://sailboatdata.com/sailboat/aerodyne-43/pdf"">PDF</a>",AERODYNE 43,,Aerodyne Marine (ZAF),3JH3,,Yanmar,Diesel,40,132 L,,303 L,,,,,,,
74,Fin w/bulb & spade rudder,Fractional  Sloop,14.20 m,12.83 m,4.37 m,87.14 m<sup>2</sup>,1.83 m,"11,508 kg","4,686 kg",17.45,40.72,152.00,Composite,Lead,2001,2,Rodger Martin,26.05,1.95,3.40,16.40 m,5.25 m,15.75 m,5.60 m,,,43.06 m<sup>2</sup>,44.09 m<sup>2</sup>,17.45,17.22 m,"<a class="""" href=""https://sailboatdata.com/sailboat/aerodyne-47/pdf"">PDF</a>",AERODYNE 47,,Aerodyne Marine (ZAF),,,Yanmar,Diesel,56,379 L,,757 L,,,,,,,
75,Swing Keel,Fractional  Sloop,6.50 m,6.50 m,2.50 m,29.91 m<sup>2</sup>,1.50 m,900 kg,480 kg,32.70,53.33,91.27,FG,Water,1990,60,Henri Amel,8.71,2.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/agrion-65/pdf"">PDF</a>",AGRION 6.5,0.30 m,Soubise (FRA),,2004,,,,,,,,,,,,,
76,Fin with rudder on skeg,Masthead Sloop,9.00 m,6.10 m,2.86 m,39.95 m<sup>2</sup>,1.60 m,"2,500 kg",,22.11,,307.13,FG,,1969,,Michel Bigoin,18.89,2.13,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/aikido/pdf"">PDF</a>",AIKIDO,,CNSO (FRA),,1978,,,,,,,,,,,,,
77,Fin with rudder on skeg,Fractional  Sloop,7.10 m,5.90 m,1.60 m,18.67 m<sup>2</sup>,1.04 m,450 kg,200 kg,32.39,44.46,61.03,Wood/FG/single chine,,1935,500,Larl Linblöm,8.19,2.11,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/aile/pdf"">PDF</a>",AILE,,,,,,,,,,,sites.google.com/site/monotypeaile,,,,,,
78,Fin w/bulb and transom hung rudder,Fractional  Sloop,6.50 m,6.45 m,2.20 m,22.00 m<sup>2</sup>,1.20 m,700 kg,250 kg,28.44,35.71,72.71,FG,Lead,2018,,Simonis Voogd Design,8.07,2.50,6.12,7.10 m,2.58 m,7.05 m,2.80 m,,7.75 m,9.15 m<sup>2</sup>,9.87 m<sup>2</sup>,24.59,7.55 m,"<a class="""" href=""https://sailboatdata.com/sailboat/aira-22/pdf"">PDF</a>",AIRA 22,0.35 m,Aira Boats,,,,Electric,,,,,,,,,,8.60 m,
79,Fin with rudder on skeg,Fractional  Sloop,7.09 m,5.84 m,1.96 m,17.47 m<sup>2</sup>,1.12 m,862 kg,,19.65,,120.59,FG,,1966,55,Oliver Lee,12.09,2.08,4.25,5.94 m,2.34 m,6.71 m,3.12 m,,,6.95 m<sup>2</sup>,10.47 m<sup>2</sup>,19.60,6.39 m,"<a class="""" href=""https://sailboatdata.com/sailboat/ajax-lee/pdf"">PDF</a>",AJAX (LEE),,Halmatic (UK),,1968,,,,,,,,,,,,,
80,Fin w/spade rudder,Masthead Sloop,8.52 m,7.06 m,2.74 m,33.82 m<sup>2</sup>,1.52 m,"2,812 kg","1,225 kg",17.31,43.55,222.52,FG,,1978,12,C&C,20.86,1.96,2.48,11.23 m,3.42 m,9.54 m,3.05 m,,,19.18 m<sup>2</sup>,14.54 m<sup>2</sup>,17.26,11.74 m,"<a class="""" href=""https://sailboatdata.com/sailboat/ajax-28/pdf"">PDF</a>",AJAX 28,,Ajax (CAN),,1982,Yanmar,Diesel,12,,,,,,,,,,
81,Fin w/bulb & dual rudders,Fractional  Sloop,12.18 m,12.18 m,4.49 m,114.92 m<sup>2</sup>,3.00 m,"4,650 kg","1,700 kg",42.08,36.56,71.72,Composite,Lead + Water,2007,,Marc Lombard,11.03,2.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/akilaria-40/pdf"">PDF</a>",AKILARIA 40,,MC Tec shipyard (TUN),,,Nanni,Diesel,29,,,,,,,,,,
82,Fin w/bulb & dual rudders,Fractional  Sloop,9.50 m,9.50 m,3.69 m,79.90 m<sup>2</sup>,2.40 m,"2,900 kg",950 kg,40.07,32.75,94.24,Composite,,2005,,Marc Lombard,11.44,2.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/akilaria-950/pdf"">PDF</a>",AKILARIA 950,,MC Tec shipyard (TUN),,,Nanni,Diesel,21,,,,,,,,,,
83,Twin Keel,Masthead Sloop,5.64 m,5.18 m,2.11 m,14.68 m<sup>2</sup>,0.55 m,680 kg,218 kg,19.33,32.00,136.30,Wood/FG,,1960,,Peter Stevenson,10.09,2.42,3.93,7.01 m,1.89 m,6.10 m,2.65 m,,,6.62 m<sup>2</sup>,8.08 m<sup>2</sup>,19.37,7.26 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alacrity-19/pdf"">PDF</a>",ALACRITY 19,,Russell Marine Ltd. /Hurley Marine Ltd.,,,,,,,,,,,,,,,
84,Swing Keel,Masthead Sloop,6.55 m,5.89 m,2.34 m,19.05 m<sup>2</sup>,1.16 m,"1,021 kg",,19.15,,139.07,FG,,1975,,Frank V. Butler,11.53,2.34,3.85,7.86 m,2.44 m,6.40 m,2.96 m,,,9.59 m<sup>2</sup>,9.46 m<sup>2</sup>,19.15,8.23 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alacrity-670-alacrity-22/pdf"">PDF</a>",ALACRITY 670 (ALACRITY 22),,Russell Marine (UK),,,,,,,,,,,,,,,
85,Fin with rudder on skeg,Cutter,10.06 m,8.38 m,3.25 m,53.42 m<sup>2</sup>,1.45 m,"6,123 kg","2,132 kg",16.28,34.81,289.79,FG,,1977,,Raymond Richards,30.57,1.80,1.77,12.80 m,4.85 m,11.02 m,4.06 m,,,31.04 m<sup>2</sup>,22.40 m<sup>2</sup>,16.29,13.69 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alajuela-33/pdf"">PDF</a>",ALAJUELA 33,,Alajuela Yacht Corp. (USA),,,Pisces,Diesel,27,189 L,,284 L,,,,,,13.89 m,
86,Long keel w/trans. hung rudder,Cutter,14.02 m,9.93 m,3.51 m,81.75 m<sup>2</sup>,1.70 m,"12,247 kg","4,536 kg",15.71,37.04,348.55,FG,Lead,1974,72,Colin Archer/William Atkin,44.07,1.54,1.29,14.60 m,6.00 m,13.11 m,5.36 m,,,43.77 m<sup>2</sup>,35.15 m<sup>2</sup>,15.16,15.78 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alajuela-38/pdf"">PDF</a>",ALAJUELA 38,,Alajuela Yacht Corp. (USA),,1985,Pisces,Diesel,40,284 L,1.93 m,379 L,,,,,,16.46 m,
87,Long keel w/trans. hung rudder,Cutter,11.58 m,9.93 m,3.51 m,81.75 m<sup>2</sup>,1.70 m,"12,247 kg","4,536 kg",15.71,37.04,348.55,FG,Lead,1977,,Colin Archer/William Atkin,47.17,1.54,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/alajuela-38-mkii/pdf"">PDF</a>",ALAJUELA 38 MKII,,Alajuela Yacht Corp. (USA),,,Pisces,Diesel,40,284 L,1.96 m,379 L,,,,,,,
88,Fin with rudder on skeg,Masthead  Ketch,16.38 m,12.34 m,4.22 m,129.60 m<sup>2</sup>,2.06 m,"13,381 kg","4,536 kg",23.47,33.90,198.25,FG,,1981,7,Raymond Richards,31.01,1.79,3.04,16.97 m,7.71 m,16.20 m,5.39 m,,,65.44 m<sup>2</sup>,43.70 m<sup>2</sup>,19.77,18.64 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alajuela-48/pdf"">PDF</a>",ALAJUELA 48,,Alajuela Yacht Corp. (USA),,,Westerbeke,Diesel,70,530 L,,908 L,,,9.88 m,3.41 m,,,
89,Centerboard Dinghy,Fractional  Sloop,4.57 m,4.52 m,1.55 m,11.61 m<sup>2</sup>,1.27 m,109 kg,,51.83,,32.85,Wood or FG,,1954,8258,Uffa Fox/Greg Gregory,2.86,3.27,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/albacore/pdf"">PDF</a>",ALBACORE,0.20 m,Many,,,,,,,,,,,,,,,
90,Swing Keel,Fractional  Sloop,5.70 m,4.95 m,2.00 m,11.98 m<sup>2</sup>,1.15 m,400 kg,130 kg,22.48,32.54,91.93,FG,,1989,,Dieter Hänsel,6.55,2.74,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/albatros-570/pdf"">PDF</a>",ALBATROS 570,0.25 m,Albatros Boats (GER),,,,,,,,,,,,,,,
91,Fin w/transom hung rudder,Masthead Sloop,5.80 m,5.10 m,2.15 m,16.26 m<sup>2</sup>,0.90 m,600 kg,250 kg,23.28,41.65,126.13,FG,,1973,,Dieter Hä&#776;nsel,8.70,2.57,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/albatros-580/pdf"">PDF</a>",ALBATROS 580,,Albatros Boats (GER),,,,,,,,,,,,,,,
92,Lifting Keel,Fractional  Sloop,9.50 m,7.01 m,3.20 m,38.09 m<sup>2</sup>,1.90 m,"3,300 kg",,17.53,,266.93,FG,,1990,100,Roberto Rovere,19.28,2.17,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/albatros-950/pdf"">PDF</a>",ALBATROS 950,0.45 m,Astillero Zimmermann,,,,,,,,,,,,,,,
93,Fin with rudder on skeg,Masthead Sloop,7.85 m,6.40 m,2.80 m,26.01 m<sup>2</sup>,1.40 m,"2,200 kg",800 kg,15.68,36.37,233.80,FG,,1977,,German Frers,17.41,2.17,2.20,9.61 m,3.37 m,8.20 m,2.40 m,,,16.20 m<sup>2</sup>,9.83 m<sup>2</sup>,15.69,10.18 m,"<a class="""" href=""https://sailboatdata.com/sailboat/albatroz-27/pdf"">PDF</a>",ALBATROZ 27,,Cabrasmar (BRA),,,,,,61 L,,91 L,,,,,,,
94,Long Keel,Masthead Sloop,6.71 m,4.88 m,2.13 m,21.93 m<sup>2</sup>,0.94 m,"1,451 kg",699 kg,17.43,48.13,348.77,FG,,1970,180,Carl Alberg,20.79,1.90,1.43,8.46 m,2.67 m,7.32 m,2.90 m,,,11.28 m<sup>2</sup>,10.59 m<sup>2</sup>,17.39,8.87 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alberg-22/pdf"">PDF</a>",ALBERG 22,,Nye Yachts (CAN),,,,,,,,,,,,,,,
95,Long Keel,Fractional  Sloop,6.86 m,4.95 m,2.13 m,23.23 m<sup>2</sup>,0.94 m,"1,520 kg",635 kg,17.91,41.79,348.53,FG,,1970,,Carl Alberg,21.37,1.87,1.46,7.62 m,2.32 m,8.23 m,3.48 m,,,8.83 m<sup>2</sup>,14.32 m<sup>2</sup>,17.85,7.96 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alberg-23/pdf"">PDF</a>",ALBERG 23,,C.E.Ryder,,,,,,,,,,,,,,,
96,Long Keel,Masthead Sloop,8.92 m,6.78 m,2.80 m,38.74 m<sup>2</sup>,1.37 m,"4,082 kg","1,814 kg",15.47,44.44,364.76,"FG solid hull, balsa cored deck",Lead,1976,80,Carl Alberg,29.85,1.77,1.22,11.28 m,3.66 m,9.75 m,3.71 m,,,20.62 m<sup>2</sup>,18.08 m<sup>2</sup>,15.45,11.86 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alberg-29/pdf"">PDF</a>",ALBERG 29,,Nye Yachts (CAN),,1985,Yanmar,Diesel,15,45 L,,114 L,,,,,,,
97,Long Keel,Masthead Sloop,9.22 m,6.61 m,2.67 m,38.09 m<sup>2</sup>,1.30 m,"4,082 kg","1,497 kg",15.21,36.67,394.84,FG,Iron,1962,700,Carl Alberg,31.90,1.69,1.06,10.97 m,3.20 m,9.45 m,4.34 m,,,17.56 m<sup>2</sup>,20.52 m<sup>2</sup>,15.21,11.43 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alberg-30/pdf"">PDF</a>",ALBERG 30,,Whitby Boat Works Ltd. (CAN),Atomic 4,1987,Universal,Gas,30,57 L,,114 L,,,,,,,
98,Long Keel,Masthead Sloop,10.39 m,7.77 m,3.07 m,52.68 m<sup>2</sup>,1.60 m,"6,350 kg","2,948 kg",15.67,46.43,376.93,FG,,1984,4,Carl Alberg,35.51,1.68,1.17,13.18 m,4.19 m,11.73 m,4.27 m,,,27.62 m<sup>2</sup>,25.04 m<sup>2</sup>,15.67,13.83 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alberg-34/pdf"">PDF</a>",ALBERG 34,,Nye Yachts (CAN),,,,,,,,151 L,,,,,,,
99,Long Keel,Masthead Sloop,10.59 m,7.32 m,2.95 m,50.63 m<sup>2</sup>,1.57 m,"5,715 kg","2,404 kg",16.16,42.06,406.90,FG w/balsa core deck,Lead (internal),1961,280,Carl Alberg,34.82,1.67,1.05,12.34 m,4.05 m,10.67 m,4.80 m,,,24.98 m<sup>2</sup>,25.61 m<sup>2</sup>,16.15,12.99 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alberg-35/pdf"">PDF</a>",ALBERG 35,,Pearson Yachts (USA),Atomic 4,1967,Universal,Gas,27,114 L,,182 L,,,,,,13.56 m,
100,Long Keel,Masthead Sloop,11.33 m,8.08 m,3.10 m,60.02 m<sup>2</sup>,1.68 m,"7,620 kg","2,948 kg",15.82,38.69,403.02,FG,Lead,1967,248,Carl Alberg,39.80,1.59,1.05,13.49 m,4.27 m,11.73 m,5.33 m,,,28.78 m<sup>2</sup>,31.30 m<sup>2</sup>,15.83,14.15 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alberg-37/pdf"">PDF</a>",ALBERG 37,,Whitby Boat Works Ltd. (CAN),MD2B,1988,Volvo,Diesel,23,132 L,,227 L,,,,,,,
101,Swing Keel,Fractional  Sloop,5.74 m,5.00 m,2.41 m,15.51 m<sup>2</sup>,1.30 m,800 kg,255 kg,18.34,31.86,178.53,FG,,1977,400,Rolf Magnusson,10.12,2.62,3.14,6.65 m,2.25 m,6.70 m,2.40 m,,,7.48 m<sup>2</sup>,8.04 m<sup>2</sup>,18.34,7.02 m,"<a class="""" href=""https://sailboatdata.com/sailboat/albin-57/pdf"">PDF</a>",ALBIN 57,0.60 m,Albin Marine (SWE),,1981,,,,,,,,,,,,,
102,Fin w/transom hung rudder,Fractional  Sloop,7.80 m,6.65 m,2.76 m,23.04 m<sup>2</sup>,1.49 m,"2,350 kg",950 kg,13.29,40.42,222.64,FG,,1979,,Peter Norlin,18.52,2.10,2.23,9.30 m,2.85 m,9.50 m,2.70 m,,,13.25 m<sup>2</sup>,12.83 m<sup>2</sup>,15.04,9.73 m,"<a class="""" href=""https://sailboatdata.com/sailboat/albin-78/pdf"">PDF</a>",ALBIN 7.8,,Albin Marine (SWE),,1984,Volvo Penta,Diesel,,,,,,,,,,,
103,Fin with rudder on skeg,Masthead Sloop,7.90 m,6.10 m,2.67 m,24.25 m<sup>2</sup>,1.40 m,"1,905 kg",750 kg,16.09,39.36,234.38,FG,Lead,1974,250,Rolf Magnusson,16.58,2.17,2.23,9.38 m,3.10 m,8.12 m,2.39 m,,,14.54 m<sup>2</sup>,9.69 m<sup>2</sup>,16.07,9.88 m,"<a class="""" href=""https://sailboatdata.com/sailboat/albin-79/pdf"">PDF</a>",ALBIN 79,,Albin Marine (SWE),MD5,1977,Volvo Penta,Diesel,10,,,,,,,,,,
104,Fin w/transom hung rudder,Fractional  Sloop,7.77 m,6.58 m,2.50 m,29.45 m<sup>2</sup>,1.45 m,"1,800 kg",800 kg,20.29,44.46,176.27,FG,,1978,1100,Peter Norlin,16.34,2.07,3.41,8.90 m,3.05 m,9.50 m,3.35 m,,,13.58 m<sup>2</sup>,15.91 m<sup>2</sup>,20.32,9.41 m,"<a class="""" href=""https://sailboatdata.com/sailboat/albin-express/pdf"">PDF</a>",ALBIN EXPRESS,,Albin Marine,,1985,,,,,,,,,,,,,
105,Fin with rudder on skeg,Masthead Sloop,10.67 m,7.97 m,3.05 m,52.86 m<sup>2</sup>,1.68 m,"5,443 kg","2,631 kg",17.43,48.33,299.24,FG,,1968,,W. Tripp/A. Lecomte,29.97,1.75,1.79,12.95 m,4.27 m,11.43 m,4.42 m,,,27.64 m<sup>2</sup>,25.26 m<sup>2</sup>,17.44,13.64 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alc-35-le-comte/pdf"">PDF</a>",ALC 35 (LE COMTE),,LeCompte (NL),,,Vetus,,,,,,,,,,,,
106,Fin with rudder on skeg,Masthead Sloop,10.67 m,8.10 m,3.05 m,52.86 m<sup>2</sup>,1.68 m,"5,443 kg","2,631 kg",17.43,48.33,285.28,FG,Lead,1971,,W. Tripp/Dolf Lecomte,29.67,1.75,1.90,12.95 m,4.27 m,11.43 m,4.42 m,,,27.64 m<sup>2</sup>,25.26 m<sup>2</sup>,17.44,13.64 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alc-35-mkii-le-comte/pdf"">PDF</a>",ALC 35 MKII (LE COMTE),,LeCompte (NL),,,Vetus,Diesel,,,,,,,,,,,
107,Fin with rudder on skeg,Masthead Sloop,12.05 m,9.19 m,3.56 m,55.46 m<sup>2</sup>,1.75 m,"6,985 kg","3,175 kg",15.49,45.45,250.60,FG,Lead,1971,,S&S/D. Le Compte,27.37,1.88,2.02,14.20 m,4.75 m,12.44 m,3.49 m,,,33.77 m<sup>2</sup>,21.68 m<sup>2</sup>,15.48,14.98 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alc-40-le-comte/pdf"">PDF</a>",ALC 40 (LE COMTE),,Le Comte (NL),4-107,1990,Westerbeke,Diesel,,,,,,,,,,,
108,Fin with rudder on skeg,Masthead Sloop,13.97 m,10.13 m,3.73 m,78.32 m<sup>2</sup>,2.06 m,"11,340 kg","4,536 kg",15.84,40.00,303.61,FG,Lead,1973,,A. E. Luders/Le Comte,37.10,1.68,1.63,16.15 m,5.64 m,14.33 m,4.57 m,,,45.55 m<sup>2</sup>,32.75 m<sup>2</sup>,15.83,17.11 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alc-46-le-comte/pdf"">PDF</a>",ALC 46 (LE COMTE),,A. Le Comte (NL),4-107,,Westerbeke,Diesel,,238 L,,538 L,,,,,,,
109,Long Keel,Masthead Sloop,9.53 m,6.91 m,2.82 m,42.27 m<sup>2</sup>,1.42 m,"4,695 kg","1,973 kg",15.38,42.03,396.59,FG,,1979,,Edward S. Brewer,32.73,1.70,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/alcona-31/pdf"">PDF</a>",ALCONA 31,,,,,,,,,,,,,,,,,
110,Modified Full Keel,Masthead Sloop,8.15 m,7.25 m,2.55 m,22.33 m<sup>2</sup>,1.15 m,"2,100 kg","1,000 kg",13.88,47.62,153.51,FG,Iron,1969,104,Hans Starreveld,17.12,2.01,2.84,8.13 m,2.41 m,7.38 m,3.40 m,,,9.80 m<sup>2</sup>,12.54 m<sup>2</sup>,13.89,8.48 m,"<a class="""" href=""https://sailboatdata.com/sailboat/aldebaran-815/pdf"">PDF</a>",ALDEBARAN 8.15,,Jachtwerf Starreveld Lemmer Friesland (NL),,1978,,diesel,10,,,90 L,,,,,,,
111,Long Keel,Masthead Sloop,9.60 m,7.24 m,3.20 m,44.59 m<sup>2</sup>,1.37 m,"6,033 kg",,13.73,,443.21,FG,,1967,14,John G. Alden & Co.,34.40,1.78,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/alden-32-motor-sailer/pdf"">PDF</a>",ALDEN 32 MOTOR SAILER,,Cheoy Lee Shipyard Ltd.(HK),MD-19,1973,Volvo,Diesel,,151 L,,189 L,,,,,,,
112,Fin w/spade rudder,Masthead Sloop,13.16 m,10.52 m,3.81 m,86.12 m<sup>2</sup>,2.26 m,"9,979 kg","4,536 kg",18.96,45.45,239.18,FG,,1992,,Niels Helleberg,31.71,1.79,2.47,17.98 m,4.97 m,15.54 m,5.33 m,,,44.67 m<sup>2</sup>,41.46 m<sup>2</sup>,18.97,18.66 m,"<a class="""" href=""https://sailboatdata.com/sailboat/alden-43/pdf"">PDF</a>",ALDEN 43,,Alden Yachts Inc. (USA),63-B,1997,Westerbeke,Diesel,63,189 L,,379 L,,,,,,,
