,Construction
"fg, pvc foam above wl",0.00011910433539780847
plywood-multi-chine/fg,0.00011910433539780847
fg w/divinycell deck,0.00011910433539780847
"wood, hard chined",0.00011910433539780847
alu/wood,0.00011910433539780847
fg and pvc sandwich,0.00011910433539780847
plywood/epoxy,0.00011910433539780847
grp w/e-glass and vinylester resin,0.00011910433539780847
fg/closed-cell foam and honeycomb pvc sandwich,0.00011910433539780847
fg solid hull/plywood cored deck,0.00011910433539780847
any,0.00011910433539780847
fg & wood,0.00011910433539780847
grp sandwich w/pvc foam and vinylester resin,0.00011910433539780847
plywood;single chine/fg,0.00011910433539780847
wood/fg (1971),0.00011910433539780847
fg (solid) hull/balsa cored deck,0.00011910433539780847
fg or strip plank,0.00011910433539780847
plyood/fg,0.00011910433539780847
fg with carbon-reinforced vinylester,0.00011910433539780847
fg solid laminate - fabmat,0.00011910433539780847
carbon/kevlar with foam core,0.00011910433539780847
epoxy w/foam sand,0.00011910433539780847
wood (carvel or ply)/fg,0.00011910433539780847
wood single chine,0.00011910433539780847
fg hull/wood deck and cabin,0.00011910433539780847
abs/corelite,0.00011910433539780847
glass/kev/nomex,0.00011910433539780847
grp w/ vinylester resin and balsa core,0.00011910433539780847
infused carbon foam sandwich,0.00011910433539780847
plywood-epoxy,0.00011910433539780847
wood (hot molded veneers),0.00011910433539780847
fg (balsa core  cored deck and coach),0.00011910433539780847
frp with vinylester resin,0.00011910433539780847
"plywood, double chine",0.00011910433539780847
cold molded,0.00011910433539780847
"wood, carvel planked",0.00011910433539780847
sandwich e-glass,0.00011910433539780847
foam sand.epoxy infusion,0.00011910433539780847
fg w/balsa core above waterline,0.00011910433539780847
fg w/klegecell,0.00011910433539780847
fg/wood,0.00011910433539780847
carbon reinforced grp,0.00011910433539780847
fg airex hull/ balsa deck,0.00011910433539780847
fg sandwich w/kevlar,0.00011910433539780847
"e-glass, foam sandwich",0.00011910433539780847
infusion molded fg,0.00011910433539780847
fg /balsa w/infusion,0.00011910433539780847
steel (single chine),0.00011910433539780847
fg divinycell  & vinyl w carbon,0.00011910433539780847
wood/epoxy composite,0.00011910433539780847
vgrp foam sandwich,0.00011910433539780847
fg epoxy w/pvc core,0.00011910433539780847
hg,0.00011910433539780847
fg w/airex cored hull & deck,0.00011910433539780847
wood plank,0.00011910433539780847
wood/hot molded veneer,0.00011910433539780847
fg w/ vacuum infused divinycall,0.00011910433539780847
"fg w/core,composite",0.00011910433539780847
hull & deck vacuum bagged  foam sand,0.00011910433539780847
fg (infusion),0.00011910433539780847
fg/wood superstructure,0.00011910433539780847
fg/klegecell,0.00011910433539780847
fg w/foam cored hull & deck,0.00011910433539780847
fg (solid hull and balsa deck),0.00011910433539780847
fg /fm. core,0.00011910433539780847
fg w/klege-cell core,0.00011910433539780847
fg (comp),0.00011910433539780847
"fg/balsa hull, airex deck",0.00011910433539780847
fg (solid hull/balsa deck),0.00011910433539780847
epoxy infusion,0.00011910433539780847
fg & plywood,0.00011910433539780847
plywood / fg,0.00011910433539780847
"steel, wood or grp",0.00011910433539780847
fg poly foam sand,0.00011910433539780847
niels peter faurby,0.00011910433539780847
carbon infused fg,0.00011910433539780847
grp w/polyester resin and balsa core,0.00011910433539780847
fg solid laminate below waterline,0.00011910433539780847
wood/clinker/fg,0.00011910433539780847
fg/termanto pvc foam hull & deck,0.00011910433539780847
wood planked/cold molded/fg,0.00011910433539780847
fg divinycell  & vinyl,0.00011910433539780847
vinyl-ester w/carbon,0.00011910433539780847
fg (balsa core cabin trunk),0.00011910433539780847
"fg sandwich ud carbon reinforcement, pvc foam",0.00011910433539780847
grp infused pvc foam sandwich,0.00011910433539780847
multi-chine plywood&epoxy,0.00011910433539780847
"ply, aluminium or fg",0.00011910433539780847
fg w/ dc core,0.00011910433539780847
fg w/foam core & carbon beams,0.00011910433539780847
fg w/pvc hull and balsa deck,0.00011910433539780847
wood mahogany,0.00011910433539780847
fg (balsa cored deck),0.00011910433539780847
wood/fg/multi chine,0.00011910433539780847
wood; carvel planked,0.00011910433539780847
cedar planked over white oak frames,0.00011910433539780847
fg/carbon infusion,0.00011910433539780847
ply/multi-chine/fg,0.00011910433539780847
s-glass/cedar core/carbon/kevlar,0.00011910433539780847
foam sand. /resin infusion,0.00011910433539780847
fg (epoxy),0.00011910433539780847
fg/epoxy/nomex,0.00011910433539780847
high-impact luran,0.00011910433539780847
fgw/carbon,0.00011910433539780847
fg w/ kevlar,0.00011910433539780847
polyester with balsa core hull,0.00011910433539780847
wood/alu/fg,0.00011910433539780847
fg/cored deck,0.00011910433539780847
fg w/ply deck,0.00011910433539780847
frp epoxy resin with full carbon foam sandwich,0.00011910433539780847
fg balsa cored hull & deck,0.00011910433539780847
"fg w/foam cored hull, balsa deck",0.00011910433539780847
fg/wood/steel/alum,0.00011910433539780847
fg solid hull&deck,0.00011910433539780847
wood/fg w/balsa deck,0.00011910433539780847
wood (carvel planked),0.00011910433539780847
fg w/pvc core w/infusion,0.00011910433539780847
vinylester resin infused thermoformed core-cell,0.00011910433539780847
ferro cement,0.00011910433539780847
fg with foam core + steel frame,0.00011910433539780847
wood/ fg,0.00011910433539780847
cold molded or fg,0.00011910433539780847
fg sandwich with pvc foam core,0.00011910433539780847
"fg w/poly foam, carbon and kev",0.00011910433539780847
polyethylene,0.00011910433539780847
"plywood, hard chine",0.00011910433539780847
tubular steel,0.00011910433539780847
carbon w/sandwich,0.00011910433539780847
techcrothene 109 (roto molded),0.00011910433539780847
fg cored deck,0.00011910433539780847
plywood (double chine),0.00011910433539780847
grp-infused foam sandwich w/vinylester and polyester resin,0.00011910433539780847
acp -thermo formed plastic,0.00011910433539780847
wood/ply/fg,0.00011910433539780847
airex foam core,0.00011910433539780847
fg single laminate,0.00011910433539780847
fg comp,0.00011910433539780847
foam w/carbon,0.00011910433539780847
fg w/klegecell deck,0.00011910433539780847
"plywood, multi-chine",0.00011910433539780847
plywd. alum. fg double chine,0.00011910433539780847
fg foam sandwich deck,0.00011910433539780847
foam core epoxy,0.00011910433539780847
wood planked w/double chine,0.00011910433539780847
fg w/pvc core,0.00011910433539780847
grp w/carbon fiber and foam core,0.00011910433539780847
fg w/divinycell hull & deck,0.00011910433539780847
teak/fg,0.00011910433539780847
epoxy w/ divinycell,0.00011910433539780847
fg/solid lam. hull/sandwich deck,0.00011910433539780847
fg vinylester w/balsa deck,0.00011910433539780847
fg w/klege-cell,0.00011910433539780847
wood (teak over elm),0.00011910433539780847
plywood or grp,0.00011910433539780847
plywood hot molded,0.00011910433539780847
kevlar w/epoxy & balsa,0.00011910433539780847
fg sandwich,0.00011910433539780847
wood and grp,0.00011910433539780847
grp using iso/npg resin,0.00011910433539780847
fg w/balsa cored deck & topsides,0.00011910433539780847
"glass, polyester, pvc foam",0.00011910433539780847
carbon fiber composite,0.00011910433539780847
fg w/airex core for deck,0.00011910433539780847
fg vinylester/infusion,0.00011910433539780847
fg w/ divinycell sandwich core,0.00011910433539780847
wood carvel mahog,0.00011910433539780847
fg/carbon,0.00011910433539780847
wood - teak,0.00011910433539780847
epoxy foam sandwich,0.00011910433539780847
epoxy/foam sand. w/carbon,0.00011910433539780847
wood/cold molded,0.00011910433539780847
wood/fg/alu,0.00011910433539780847
wood strip,0.00011910433539780847
e-glass w/ epoxy vinyester + pvc foam core,0.00011910433539780847
plywood/grp/frp/composite,0.00011910433539780847
fg/poly. core,0.00011910433539780847
fg (vacuum infusion) w/balsa core,0.00011910433539780847
grp w/ pvc foam sandwich,0.00011910433539780847
fg pvc sandwich w/carbon,0.00011910433539780847
fg w/foam (polypro.) core,0.00011910433539780847
e-glass/epoxy/foam sandwich,0.00011910433539780847
fg w/ deck of vetrolex core,0.00011910433539780847
wood/hot molded veneer (agba/cedar),0.00011910433539780847
