,Designer
jean-jacques hurbulot,0.00035731300619342544
bill abbott sr,0.00035731300619342544
yves loday /rob white,0.00035731300619342544
knud reimers,0.00035731300619342544
robert dufour/marius corbin,0.00035731300619342544
harlé,0.00035731300619342544
j. r. macalpine-downie / dick gibbs,0.00035731300619342544
george olson,0.00035731300619342544
greg goodall,0.00035731300619342544
william h. shaw,0.00035731300619342544
steve thompson,0.00035731300619342544
umberto felci & patrick roséo,0.00035731300619342544
ernst lehfeld,0.00035731300619342544
allan j. arnold,0.00035731300619342544
joubert/nivelt/mercier,0.00035731300619342544
van petheghem/lauriot-prévost,0.00035731300619342544
peter hatfield,0.00035731300619342544
j. mcglasson,0.00035731300619342544
maurizio cossutti,0.00035731300619342544
roger martin,0.00035731300619342544
john mullins,0.00035731300619342544
scott kaufman,0.00035731300619342544
sidney herreshoff,0.00035731300619342544
warren luhrs,0.00035731300619342544
biscontini yacht design,0.00035731300619342544
c. a. martzoucos,0.00035731300619342544
kristian rode,0.00035731300619342544
john kaiser sr,0.00035731300619342544
arthur howard,0.00035731300619342544
herb stewart,0.00035731300619342544
ian howlett/rob white,0.00035731300619342544
w. jenneskens,0.00035731300619342544
hunter design group,0.00035731300619342544
gebr de kloet,0.00035731300619342544
csj roy,0.00035731300619342544
wirth munroe,0.00035731300619342544
artù chiggiato,0.00035731300619342544
robert a. smith,0.00035731300619342544
h.herreshoff,0.00035731300619342544
geoffrey prindle,0.00035731300619342544
philippe harle,0.00035731300619342544
janusz konkol/henryk brylski,0.00035731300619342544
clive m. dent,0.00035731300619342544
o. h. rodgers,0.00035731300619342544
bob poole,0.00035731300619342544
bureau d’études catana,0.00035731300619342544
ceccarelli yacht design,0.00035731300619342544
j.h.mcglasson,0.00035731300619342544
william h. short,0.00035731300619342544
arthur s. henry,0.00035731300619342544
joseph v. puccia,0.00035731300619342544
menger,0.00035731300619342544
n. herreshoff,0.00035731300619342544
ron swanson,0.00035731300619342544
j. de ridder,0.00035731300619342544
paul kettenburg,0.00035731300619342544
lyle c. hess,0.00035731300619342544
jacques gaubert/andré mauric,0.00035731300619342544
chris white,0.00035731300619342544
morrelli and melvin,0.00035731300619342544
john o. johnson,0.00035731300619342544
henry amel & j. carteau,0.00035731300619342544
w. starling burgess,0.00035731300619342544
groupe finot/jean beret,0.00035731300619342544
hubert weber,0.00035731300619342544
peter a. ibold,0.00035731300619342544
rhodes,0.00035731300619342544
philippe briand / jeanneau design,0.00035731300619342544
edwin monk,0.00035731300619342544
finot / conq,0.00035731300619342544
illingworth & primrose,0.00035731300619342544
finot-conq/nauta design,0.00035731300619342544
georg nissen/schöchl,0.00035731300619342544
hobie europe,0.00035731300619342544
john barnett,0.00035731300619342544
andrew c. vavolotis,0.00035731300619342544
c. oberly,0.00035731300619342544
dick carter/johann tanzer,0.00023820867079561695
uffa fox/greg gregory,0.00023820867079561695
john sharp,0.00023820867079561695
andrieu yacht design,0.00023820867079561695
william crosby,0.00023820867079561695
john g alden inc,0.00023820867079561695
arthur edmunds/leon slikkers,0.00023820867079561695
p. jouët & cie,0.00023820867079561695
barreau / neuman,0.00023820867079561695
van der rest,0.00023820867079561695
ralph tobias,0.00023820867079561695
bill tripp iii,0.00023820867079561695
ian farrier/corsair design team,0.00023820867079561695
paul yates,0.00023820867079561695
u. van essen,0.00023820867079561695
w. herbert boyd,0.00023820867079561695
glen henderson,0.00023820867079561695
volker and gerda lamprecht,0.00023820867079561695
laurent giles & partners,0.00023820867079561695
i. anderson & chris baker,0.00023820867079561695
andré cornu,0.00023820867079561695
t. wylie,0.00023820867079561695
ian murray & associates,0.00023820867079561695
robert stone,0.00023820867079561695
john wake,0.00023820867079561695
knut jacobsson,0.00023820867079561695
bob neck & clark scarboro,0.00023820867079561695
xavier faÿ; lasta design studios (interior),0.00023820867079561695
william gardner,0.00023820867079561695
dean hennevanger,0.00023820867079561695
don wennersten/graham & schlageter,0.00023820867079561695
gary lundy,0.00023820867079561695
jean beret/j. fauroux/group finot,0.00023820867079561695
roger moorman,0.00023820867079561695
l. f. herreshoff/ron johnson,0.00023820867079561695
george h. stadel iii,0.00023820867079561695
ted clements,0.00023820867079561695
michel bigoin/jacques duvergie,0.00023820867079561695
eskil haldin,0.00023820867079561695
dynayacht,0.00023820867079561695
sergent/amel,0.00023820867079561695
willis reid/schock,0.00023820867079561695
lasta design studio,0.00023820867079561695
morgan-giles,0.00023820867079561695
daniel tortarolo,0.00023820867079561695
groupe finot/jacques fauroux,0.00023820867079561695
j.m. l'hermenier,0.00023820867079561695
bruno boström/grandinsson,0.00023820867079561695
william tripp jr./ b.  seeley,0.00023820867079561695
chris hammond,0.00023820867079561695
peter barrett,0.00023820867079561695
colin thorne,0.00023820867079561695
philippe briand /hugon couëdel,0.00023820867079561695
bruce roberts/rudy waalkens,0.00023820867079561695
sylvestre langevin,0.00023820867079561695
gerry douglass,0.00023820867079561695
g.k. collyer,0.00023820867079561695
columbia yachts,0.00023820867079561695
jack groeneveld,0.00023820867079561695
e g van de stadt,0.00023820867079561695
vlad murnikov,0.00023820867079561695
pierre marique/alois roland,0.00023820867079561695
ängermark/qviberg,0.00023820867079561695
john r. van ost,0.00023820867079561695
j&j / salona design,0.00023820867079561695
klaus fahrenkroog,0.00023820867079561695
j. b. brooke,0.00023820867079561695
brewer/walstrom,0.00023820867079561695
macgregor,0.00023820867079561695
bob mayo,0.00023820867079561695
fauroux & garroni,0.00023820867079561695
john c. harris,0.00023820867079561695
l. francis herreshoff/bill harding,0.00023820867079561695
